,Unnamed: 0,EMITENT_FULL_NAME,issuerid
61,61,"Публичное акционерное общество ""Детский мир"", DSKY, , Детский мир, Detsky Mir, Детмир, , , ,детские миры ,детских миров ,детским мирам ,детских миры ,детскими мирами ,детских мирах ,детский мир ,детского мира ,детскому миру ,детского мир ,детским миром ,детском мире ",62
62,62,"Публичное акционерное общество ""ДжиТиЭл"", , GTLC , ДжиТиЭл, GTL, , , , ,джитиэлы ,джитиэл ,джитиэлам ,джитиэл ,джитиэлами ,джитиэлах ,джитиэла ,джитиэлы ,джитиэле ,джитиэлу ,джитиэлой ,джитиэле ",63
63,63,"Публичное акционерное общество ""Европейская Электротехника"", , EELT                , Европейская Электротехника, Yevropyeyskaya Elyektrotyekhnika, , , , ,европейские электротехники ,европейских электротехник ,европейским электротехникам ,европейских электротехники ,европейскими электротехниками ,европейских электротехниках ,европейская электротехника ,европейской электротехники ,европейской электротехнике ,европейскую электротехнику ,европейской электротехникой ,европейской электротехнике ",64
64,64,"Публичное акционерное общество ""Завод имени И.А. Лихачева"", , ZILL                , Завод имени И.А. Лихачева, ЗИЛ, ZIL, Завод имени Лихачёва , , ,заводы имена И.А. лихачёвы ,заводов имён И.А. лихачёвых ,заводам именам И.А. лихачёвым ,заводы имена И.А. лихачёвых ,заводами именами И.А. лихачёвыми ,заводах именах И.А. лихачёвых ,завод имя И.А. лихачёв ,завода имени И.А. лихачёва ,заводу имени И.А. лихачёву ,завод имя И.А. лихачёва ,заводом именем И.А. лихачёвым ,заводе имени И.А. лихачёве ",65
65,65,"Публичное акционерное общество ""ЗВЕЗДА"", , ZVEZ, Звезда, ZVEZDA, , , , ,звёзды ,звёзд ,звёздам ,звёзды ,звёздами ,звёздах ,звезда ,звезды ,звезде ,звезду ,звездой ,звезде ",66
66,66,"Публичное акционерное общество ""Ижсталь"", , IGST                , Ижсталь, Ижевский металлургический завод, Izhstal', , , ,Ижсталь ,Ижсталь ,Ижсталь ,Ижсталь ,Ижсталь ,Ижсталь ,ижсталь ,ижстали ,ижстали ,ижсталь ,ижсталью ,ижстали ",67
67,67,"Публичное акционерное общество ""ИНВЕСТ-ДЕВЕЛОПМЕНТ"", , IDVP, инвест-девелопмент, invest-development, , , , ,инвесты-девелопменты ,инвестов-девелопментов ,инвестам-девелопментам ,инвесты-девелопменты ,инвестами-девелопментами ,инвестах-девелопментах ,инвест-девелопмент ,инвеста-девелопмента ,инвесту-девелопменту ,инвест-девелопмент ,инвестом-девелопментом ,инвесте-девелопменте ",68
68,68,"Публичное акционерное общество ""ИНВЕСТИЦИОННАЯ КОМПАНИЯ ИК РУСС-ИНВЕСТ"", , RUSI, Руссинвест, ИК Русс-Инвест , Russ-Invest, Русс-Инвест, Russinvest , Русс-Инвест ИК,руссинвесты ,руссинвестов ,руссинвестам ,руссинвесты ,руссинвестами ,руссинвестах ,руссинвест ,руссинвеста ,руссинвесту ,руссинвест ,руссинвестом ,руссинвесте ",69
69,69,"Публичное акционерное общество ""ИНГРАД"", INGR, OPIN, Инград, Ingrad , Ingr, Инград (ПАО), ПАО Инград, ,OPIN ,OPIN ,OPIN ,OPIN ,OPIN ,OPIN ,OPIN ,OPIN ,OPIN ,OPIN ,OPIN ,OPIN ",70
70,70,"Публичное акционерное общество ""Институт Стволовых Клеток Человека"", , ISKJ                , ИСКЧ, Институт Стволовых Клеток Человека, , , , ,искчи ,искч ,искчам ,искчи ,искчами ,искчах ,искча ,искчи ,искче ,искчу ,искчей ,искче ",71
71,71,"Публичное акционерное общество ""Интер РАО ЕЭС"", IRAO, , Интер РАО , Inter Rao, Интер РАО ЕЭС Финанс, , , ,интер рао ,интер рао ,интер рао ,интер рао ,интер рао ,интер рао ,интер рао ,интер рао ,интер рао ,интер рао ,интер рао ,интер рао ",72
72,72,"Публичное акционерное общество ""Калужская сбытовая компания"", , KLSB, КСК, КЛСБ, Калужская сбытовая компания, Калужская СбытКомп, Kalujskaya Sbytovaya, ,КСК ,КСК ,КСК ,КСК ,КСК ,КСК ,КСК ,КСК ,КСК ,КСК ,КСК ,КСК ",73
73,73,"Публичное акционерное общество ""КАМАЗ"", KMAZ, , Камаз, Kamaz , , , , ,камазы ,камазов ,камазам ,камазы ,камазами ,камазах ,камаз ,камаза ,камазу ,камаз ,камазом ,камазе ",74
74,74,"Публичное акционерное общество ""Каменск-Уральский завод по обработке цветных металлов"", , KUNF, Кузоцм, Kuzocm, , , , ,кузоцмы ,кузоцмов ,кузоцмам ,кузоцмы ,кузоцмами ,кузоцмах ,кузоцм ,кузоцма ,кузоцму ,кузоцм ,кузоцмом ,кузоцме ",75
75,75,"Публичное акционерное общество ""Квадра - Генерирующая компания"", , TGKD, АО Квадра, quadra, квадра, пао квадра, , ,ао квадры ,ао квадр ,ао квадрам ,ао квадры ,ао квадрами ,ао квадрах ,ао квадра ,ао квадры ,ао квадре ,ао квадру ,ао квадрой ,ао квадре ",76
76,76,"публичное акционерное общество ""Ковровский механический завод"", , KMEZ, ПАО КМЗ, Ковровский мехзд, Ковровский механический завод, kvmz, , ,ПАО КМЗ ,ПАО КМЗ ,ПАО КМЗ ,ПАО КМЗ ,ПАО КМЗ ,ПАО КМЗ ,ПАО КМЗ ,ПАО КМЗ ,ПАО КМЗ ,ПАО КМЗ ,ПАО КМЗ ,ПАО КМЗ ",77
77,77,"Публичное акционерное общество ""Кокс"", , KSGR                , ПАО кокс, кокс, koks, , , ,ПАО коксы ,ПАО коксов ,ПАО коксам ,ПАО коксы ,ПАО коксами ,ПАО коксах ,ПАО кокс ,ПАО кокса ,ПАО коксу ,ПАО кокс ,ПАО коксом ,ПАО коксе ",78
78,78,"публичное акционерное общество ""Корпорация ВСМПО-АВИСМА"", , VSMO                , Корпорация ВСМПО-АВИСМА, ВСМПО-АВИСМА, VSMPO-AVISMA Corporation, VSMPO-AVISMA, ВСМПО-АВСМ, ВСМПО,корпорации всмпо-ависмы ,корпораций всмпо-ависмов ,корпорациям всмпо-ависмам ,корпорации всмпо-ависмы ,корпорациями всмпо-ависмами ,корпорациях всмпо-ависмах ,корпорация всмпо-ависм ,корпорации всмпо-ависма ,корпорации всмпо-ависму ,корпорацию всмпо-ависм ,корпорацией всмпо-ависмом ,корпорации всмпо-ависме ",79
79,79,"Публичное акционерное общество ""Коршуновский горно-обогатительный комбинат"", , KOGK                , Коршуновский гок, Korshunov Mining Plant, Korgok, , , ,коршуновские гок ,коршуновских гок ,коршуновским гок ,коршуновских гок ,коршуновскими гок ,коршуновских гок ,коршуновский гок ,коршуновского гок ,коршуновскому гок ,коршуновского гок ,коршуновским гок ,коршуновском гок ",80
80,80,"Публичное акционерное общество ""Косогорский металлургический завод"", , KMTZ                , Косогорский металлургический завод, ПАО КМЗ, KGIW, , , ,косогорские металлургические заводы ,косогорских металлургических заводов ,косогорским металлургическим заводам ,косогорских металлургических заводы ,косогорскими металлургическими заводами ,косогорских металлургических заводах ,косогорский металлургический завод ,косогорского металлургического завода ,косогорскому металлургическому заводу ,косогорского металлургического завод ,косогорским металлургическим заводом ,косогорском металлургическом заводе ",81
81,81,"Публичное акционерное общество ""Костромская сбытовая компания"", , KTSB, КСК, Костромская сбытовая компания, Kostromskaya sbytovaya kompaniya, KSK, , ,КСК ,КСК ,КСК ,КСК ,КСК ,КСК ,КСК ,КСК ,КСК ,КСК ,КСК ,КСК ",82
82,82,"Публичное акционерное общество ""Краснокамский завод металлических сеток"", , KZMS, КЗМС, Краснокамский завод металлических сеток, Россет, Rosset, , ,кзмсы ,кзмсов ,кзмсам ,кзмсы ,кзмсами ,кзмсах ,кзмс ,кзмса ,кзмсу ,кзмс ,кзмсом ,кзмсе ",83
83,83,"Публичное акционерное общество ""Красноярскэнергосбыт"", , KRSB, Красноярскэнергосбыт, krsk-sbit, , , , ,Красноярскэнергосбыт ,Красноярскэнергосбыт ,Красноярскэнергосбыт ,Красноярскэнергосбыт ,Красноярскэнергосбыт ,Красноярскэнергосбыт ,красноярскэнергосбыт ,красноярскэнергосбыта ,красноярскэнергосбыту ,красноярскэнергосбыт ,красноярскэнергосбытом ,красноярскэнергосбыте ",84
84,84,"Публичное акционерное общество ""Кузбасская Топливная Компания"", , KBTK, Кузбасская топливная компания, КТК, KTK, ПАО КТК, , ,кузбасские топливные компании ,кузбасских топливных компаний ,кузбасским топливным компаниям ,кузбасских топливных компании ,кузбасскими топливными компаниями ,кузбасских топливных компаниях ,кузбасская топливная компания ,кузбасской топливной компании ,кузбасской топливной компании ,кузбасскую топливную компанию ,кузбасской топливной компанией ,кузбасской топливной компании ",85
85,85,"Публичное акционерное общество ""КуйбышевАзот"", , KAZT, КуйбышевАзот, kuazot, Куйбазот, , , ,куйбышевазоты ,куйбышевазотов ,куйбышевазотам ,куйбышевазоты ,куйбышевазотами ,куйбышевазотах ,куйбышевазот ,куйбышевазота ,куйбышевазоту ,куйбышевазот ,куйбышевазотом ,куйбышевазоте ",86
86,86,"Публичное акционерное общество ""Курганская генерирующая компания"", , KGKC, Курганская генерирующая компания, Курганская ГК, КГК, ПАО КГК, KGK, Kurgancskaya Generiruyushaya,курганские генерирующие компании ,курганских генерирующих компаний ,курганским генерирующим компаниям ,курганских генерирующих компании ,курганскими генерирующими компаниями ,курганских генерирующих компаниях ,курганская генерирующая компания ,курганской генерирующей компании ,курганской генерирующей компании ,курганскую генерирующую компанию ,курганской генерирующей компанией ,курганской генерирующей компании ",87
87,87,"Публичное акционерное общество ""М.видео"", MVID, , Мвидео, Mvideo, , , , ,мвидео ,мвидео ,мвидео ,мвидео ,мвидео ,мвидео ,мвидео ,мвидео ,мвидео ,мвидео ,мвидео ,мвидео ",88
88,88,"Публичное акционерное общество ""Магнит"", MGNT, , Магнит , Magnit , Mgnt , ПАО Магнит, Магнит ПАО, ,магниты ,магнитов ,магнитам ,магниты ,магнитами ,магнитах ,магнит ,магнита ,магниту ,магнит ,магнитом ,магните ",89
89,89,"Публичное акционерное общество ""Магнитогорский металлургический комбинат"", MAGN, , ММК, Magnitigorskiy Metallurgicheskiy, Магнитогорский металлургический комбинат, Магнитка, , ,ММК ,ММК ,ММК ,ММК ,ММК ,ММК ,ММК ,ММК ,ММК ,ММК ,ММК ,ММК ",90
90,90,"Публичное акционерное общество ""МегаФон"", MFON, , Мегафон, Megafon, ПАО Мегафон, Мегафон ПАО, , ,мегафоны ,мегафонов ,мегафонам ,мегафоны ,мегафонами ,мегафонах ,мегафон ,мегафона ,мегафону ,мегафон ,мегафоном ,мегафоне ",91
91,91,"Публичное акционерное общество ""Медиахолдинг"", , ODVA, , , , , , ,публичные акционерные общества ""Медиахолдинг"" ,публичных акционерных обществ ""Медиахолдинг"" ,публичным акционерным обществам ""Медиахолдинг"" ,публичных акционерных общества ""Медиахолдинг"" ,публичными акционерными обществами ""Медиахолдинг"" ,публичных акционерных обществах ""Медиахолдинг"" ,публичное акционерное общество ""Медиахолдинг"" ,публичного акционерного общества ""Медиахолдинг"" ,публичному акционерному обществу ""Медиахолдинг"" ,публичное акционерное общество ""Медиахолдинг"" ,публичным акционерным обществом ""Медиахолдинг"" ,публичном акционерном обществе ""Медиахолдинг"" ",92
92,92,"Публичное акционерное общество ""Международный Медицинский Центр Обработки и Криохранения Биоматериалов"", , GEMA, , , , , , ,публичные акционерные общества ""международные медицинские центры обработки и криохранения Биоматериалов"" ,публичных акционерных обществ ""международных медицинских центров обработок и криохранений Биоматериалов"" ,публичным акционерным обществам ""международным медицинским центрам обработкам и криохранениям Биоматериалов"" ,публичных акционерных общества ""международных медицинских центры обработки и криохранения Биоматериалов"" ,публичными акционерными обществами ""международными медицинскими центрами обработками и криохранениями Биоматериалов"" ,публичных акционерных обществах ""международных медицинских центрах обработках и криохранениях Биоматериалов"" ,публичное акционерное общество ""международный медицинский центр обработка и криохранение Биоматериалов"" ,публичного акционерного общества ""международного медицинского центра обработки и криохранения Биоматериалов"" ,публичному акционерному обществу ""международному медицинскому центру обработке и криохранению Биоматериалов"" ,публичное акционерное общество ""международного медицинского центр обработку и криохранение Биоматериалов"" ,публичным акционерным обществом ""международным медицинским центром обработкой и криохранением Биоматериалов"" ,публичном акционерном обществе ""международном медицинском центре обработке и криохранении Биоматериалов"" ",93
93,93,"Публичное акционерное общество ""Межрегиональная распределительная сетевая компания Северо-Запада"", , MRKZ, , , , , , ,публичные акционерные общества ""межрегиональные распределительные сетевые компании Северо-Запада"" ,публичных акционерных обществ ""межрегиональных распределительных сетевых компаний Северо-Запада"" ,публичным акционерным обществам ""межрегиональным распределительным сетевым компаниям Северо-Запада"" ,публичных акционерных общества ""межрегиональных распределительных сетевых компании Северо-Запада"" ,публичными акционерными обществами ""межрегиональными распределительными сетевыми компаниями Северо-Запада"" ,публичных акционерных обществах ""межрегиональных распределительных сетевых компаниях Северо-Запада"" ,публичное акционерное общество ""межрегиональная распределительная сетевая компания Северо-Запада"" ,публичного акционерного общества ""межрегиональной распределительной сетевой компании Северо-Запада"" ,публичному акционерному обществу ""межрегиональной распределительной сетевой компании Северо-Запада"" ,публичное акционерное общество ""межрегиональную распределительную сетевую компанию Северо-Запада"" ,публичным акционерным обществом ""межрегиональной распределительной сетевой компанией Северо-Запада"" ,публичном акционерном обществе ""межрегиональной распределительной сетевой компании Северо-Запада"" ",94
94,94,"Публичное акционерное общество ""Межрегиональная распределительная сетевая компания Центра и Приволжья"", , MRKP, , , , , , ,публичные акционерные общества ""межрегиональные распределительные сетевые компании центры и Приволжья"" ,публичных акционерных обществ ""межрегиональных распределительных сетевых компаний центров и Приволжья"" ,публичным акционерным обществам ""межрегиональным распределительным сетевым компаниям центрам и Приволжья"" ,публичных акционерных общества ""межрегиональных распределительных сетевых компании центры и Приволжья"" ,публичными акционерными обществами ""межрегиональными распределительными сетевыми компаниями центрами и Приволжья"" ,публичных акционерных обществах ""межрегиональных распределительных сетевых компаниях центрах и Приволжья"" ,публичное акционерное общество ""межрегиональная распределительная сетевая компания центр и Приволжья"" ,публичного акционерного общества ""межрегиональной распределительной сетевой компании центра и Приволжья"" ,публичному акционерному обществу ""межрегиональной распределительной сетевой компании центру и Приволжья"" ,публичное акционерное общество ""межрегиональную распределительную сетевую компанию центр и Приволжья"" ,публичным акционерным обществом ""межрегиональной распределительной сетевой компанией центром и Приволжья"" ,публичном акционерном обществе ""межрегиональной распределительной сетевой компании центре и Приволжья"" ",95
95,95,"Публичное акционерное общество ""Межрегиональная распределительная сетевая компания Центра"", , MRKC, , , , , , ,публичные акционерные общества ""межрегиональные распределительные сетевые компании Центра"" ,публичных акционерных обществ ""межрегиональных распределительных сетевых компаний Центра"" ,публичным акционерным обществам ""межрегиональным распределительным сетевым компаниям Центра"" ,публичных акционерных общества ""межрегиональных распределительных сетевых компании Центра"" ,публичными акционерными обществами ""межрегиональными распределительными сетевыми компаниями Центра"" ,публичных акционерных обществах ""межрегиональных распределительных сетевых компаниях Центра"" ,публичное акционерное общество ""межрегиональная распределительная сетевая компания Центра"" ,публичного акционерного общества ""межрегиональной распределительной сетевой компании Центра"" ,публичному акционерному обществу ""межрегиональной распределительной сетевой компании Центра"" ,публичное акционерное общество ""межрегиональную распределительную сетевую компанию Центра"" ,публичным акционерным обществом ""межрегиональной распределительной сетевой компанией Центра"" ,публичном акционерном обществе ""межрегиональной распределительной сетевой компании Центра"" ",96
96,96,"Публичное акционерное общество ""МЕРИДИАН"", , MERF, , , , , , ,публичные акционерные общества ""МЕРИДИАН"" ,публичных акционерных обществ ""МЕРИДИАН"" ,публичным акционерным обществам ""МЕРИДИАН"" ,публичных акционерных общества ""МЕРИДИАН"" ,публичными акционерными обществами ""МЕРИДИАН"" ,публичных акционерных обществах ""МЕРИДИАН"" ,публичное акционерное общество ""МЕРИДИАН"" ,публичного акционерного общества ""МЕРИДИАН"" ,публичному акционерному обществу ""МЕРИДИАН"" ,публичное акционерное общество ""МЕРИДИАН"" ,публичным акционерным обществом ""МЕРИДИАН"" ,публичном акционерном обществе ""МЕРИДИАН"" ",97
97,97,"Публичное акционерное общество ""МЕТКОМБАНК"", , MTKB, , , , , , ,публичные акционерные общества ""МЕТКОМБАНК"" ,публичных акционерных обществ ""МЕТКОМБАНК"" ,публичным акционерным обществам ""МЕТКОМБАНК"" ,публичных акционерных общества ""МЕТКОМБАНК"" ,публичными акционерными обществами ""МЕТКОМБАНК"" ,публичных акционерных обществах ""МЕТКОМБАНК"" ,публичное акционерное общество ""МЕТКОМБАНК"" ,публичного акционерного общества ""МЕТКОМБАНК"" ,публичному акционерному обществу ""МЕТКОМБАНК"" ,публичное акционерное общество ""МЕТКОМБАНК"" ,публичным акционерным обществом ""МЕТКОМБАНК"" ,публичном акционерном обществе ""МЕТКОМБАНК"" ",98
98,98,"Публичное акционерное общество ""Мечел"", MTLR, , мечел, mechel, mtlrp, , , ,мечел ,мечел ,мечел ,мечел ,мечел ,мечел ,мечел ,мечел ,мечел ,мечел ,мечел ,мечел ",99
99,99,"Публичное акционерное общество ""Мобильные ТелеСистемы"", MTSS, , MTC, МТС, , , , ,MTC ,MTC ,MTC ,MTC ,MTC ,MTC ,MTC ,MTC ,MTC ,MTC ,MTC ,MTC ",100
100,100,"Публичное акционерное общество ""Мордовская энергосбытовая компания"", , MRSB, , , , , , ,публичные акционерные общества ""мордовские энергосбытовые компания"" ,публичных акционерных обществ ""мордовских энергосбытовых компания"" ,публичным акционерным обществам ""мордовским энергосбытовым компания"" ,публичных акционерных общества ""мордовских энергосбытовых компания"" ,публичными акционерными обществами ""мордовскими энергосбытовыми компания"" ,публичных акционерных обществах ""мордовских энергосбытовых компания"" ,публичное акционерное общество ""мордовская энергосбытовая компания"" ,публичного акционерного общества ""мордовской энергосбытовой компания"" ,публичному акционерному обществу ""мордовской энергосбытовой компания"" ,публичное акционерное общество ""мордовскую энергосбытовую компания"" ,публичным акционерным обществом ""мордовской энергосбытовой компания"" ,публичном акционерном обществе ""мордовской энергосбытовой компания"" ",101
101,101,"Публичное акционерное общество ""Морион"", , MORI, , , , , , ,публичные акционерные общества ""Морион"" ,публичных акционерных обществ ""Морион"" ,публичным акционерным обществам ""Морион"" ,публичных акционерных общества ""Морион"" ,публичными акционерными обществами ""Морион"" ,публичных акционерных обществах ""Морион"" ,публичное акционерное общество ""Морион"" ,публичного акционерного общества ""Морион"" ,публичному акционерному обществу ""Морион"" ,публичное акционерное общество ""Морион"" ,публичным акционерным обществом ""Морион"" ,публичном акционерном обществе ""Морион"" ",102
102,102,"Публичное акционерное общество ""Московская Биржа ММВБ-РТС"", MOEX, , Мосбиржа, Московская биржа, , , , ,мосбиржи ,мосбирж ,мосбиржам ,мосбиржи ,мосбиржами ,мосбиржах ,мосбиржа ,мосбиржи ,мосбирже ,мосбиржу ,мосбиржей ,мосбирже ",103
103,103,"Публичное акционерное общество ""Московская городская телефонная сеть"", MGTS, , , , , , , ,публичные акционерные общества ""московские городские телефонные сеть"" ,публичных акционерных обществ ""московских городских телефонных сеть"" ,публичным акционерным обществам ""московским городским телефонным сеть"" ,публичных акционерных общества ""московских городских телефонных сеть"" ,публичными акционерными обществами ""московскими городскими телефонными сеть"" ,публичных акционерных обществах ""московских городских телефонных сеть"" ,публичное акционерное общество ""московская городская телефонная сеть"" ,публичного акционерного общества ""московской городской телефонной сеть"" ,публичному акционерному обществу ""московской городской телефонной сеть"" ,публичное акционерное общество ""московскую городскую телефонную сеть"" ,публичным акционерным обществом ""московской городской телефонной сеть"" ,публичном акционерном обществе ""московской городской телефонной сеть"" ",104
104,104,"Публичное акционерное общество ""Московская кондитерская фабрика ""Красный Октябрь"", , KROT, KROTP, , , , , ,KROTP ,KROTP ,KROTP ,KROTP ,KROTP ,KROTP ,KROTP ,KROTP ,KROTP ,KROTP ,KROTP ,KROTP ",105
105,105,"Публичное акционерное общество ""МОСТОТРЕСТ"", mstt, , мостотрест, , , , , ,мостотресты ,мостотрестов ,мостотрестам ,мостотресты ,мостотрестами ,мостотрестах ,мостотрест ,мостотреста ,мостотресту ,мостотрест ,мостотрестом ,мостотресте ",106
106,106,"Публичное акционерное общество ""Наука-Связь"", , NSVZ, наука-связь, , , , , ,науки-связи ,наук-связей ,наукам-связям ,науки-связи ,науками-связями ,науках-связях ,наука-связь ,науки-связи ,науке-связи ,науку-связь ,наукой-связью ,науке-связи ",107
107,107,"публичное акционерное общество ""Научно-производственная корпорация ""Иркут"", IRKT, , , , , , , ,публичные акционерные общества ""научно-производственные корпорации ""Иркут"" ,публичных акционерных обществ ""научно-производственных корпораций ""Иркут"" ,публичным акционерным обществам ""научно-производственным корпорациям ""Иркут"" ,публичных акционерных общества ""научно-производственных корпорации ""Иркут"" ,публичными акционерными обществами ""научно-производственными корпорациями ""Иркут"" ,публичных акционерных обществах ""научно-производственных корпорациях ""Иркут"" ,публичное акционерное общество ""научно-производственная корпорация ""Иркут"" ,публичного акционерного общества ""научно-производственной корпорации ""Иркут"" ,публичному акционерному обществу ""научно-производственной корпорации ""Иркут"" ,публичное акционерное общество ""научно-производственную корпорацию ""Иркут"" ,публичным акционерным обществом ""научно-производственной корпорацией ""Иркут"" ,публичном акционерном обществе ""научно-производственной корпорации ""Иркут"" ",108
108,108,"Публичное акционерное общество ""Научно-производственная корпорация ""Объединенная Вагонная Компания"", UWGN, , Объединенная Вагонная Компания, , , , , ,объединённые вагонные компании ,объединённых вагонных компаний ,объединённым вагонным компаниям ,объединённых вагонных компании ,объединёнными вагонными компаниями ,объединённых вагонных компаниях ,объединённая вагонная компания ,объединённой вагонной компании ,объединённой вагонной компании ,объединённую вагонную компанию ,объединённой вагонной компанией ,объединённой вагонной компании ",109
109,109,"Публичное акционерное общество ""Нефтекамский автозавод"", , NFAZ, нефаз, Нефтекамский автозавод, , , , ,нефазы ,нефаз ,нефазам ,нефазы ,нефазами ,нефазах ,нефаза ,нефазы ,нефазе ,нефазу ,нефазой ,нефазе ",110
110,110,"Публичное акционерное общество ""Нефтяная компания ""ЛУКОЙЛ"", LKOH, , ЛУКОЙЛ, , , , , ,лукойлы ,лукойлов ,лукойлам ,лукойлы ,лукойлами ,лукойлах ,лукойл ,лукойла ,лукойлу ,лукойл ,лукойлом ,лукойле ",111
111,111,"публичное акционерное общество ""Нефтяная компания ""Роснефть"", ROSN, , роснефть, rosneft, , , , ,роснефть ,роснефть ,роснефть ,роснефть ,роснефть ,роснефть ,роснефть ,роснефти ,роснефти ,роснефть ,роснефтью ,роснефти ",112
112,112,"Публичное Акционерное Общество ""Нижнекамскнефтехим"", NKNCP, NKNC, Нижнекамскнефтехим, , , , , ,NKNC ,NKNC ,NKNC ,NKNC ,NKNC ,NKNC ,NKNC ,NKNC ,NKNC ,NKNC ,NKNC ,NKNC ",113
113,113,"Публичное акционерное общество ""Нижнекамскшина"", NKSHP, NKSH, Нижнекамскшина, , , , , ,NKSH ,NKSH ,NKSH ,NKSH ,NKSH ,NKSH ,NKSH ,NKSH ,NKSH ,NKSH ,NKSH ,NKSH ",114
114,114,"публичное акционерное общество ""НОВАТЭК"", NVTK, , Новатэк, Novatek, , , , ,новатэки ,новатэков ,новатэкам ,новатэки ,новатэками ,новатэках ,новатэк ,новатэка ,новатэку ,новатэк ,новатэком ,новатэке ",115
115,115,"Публичное акционерное общество ""Новолипецкий металлургический комбинат"", NLMK, , НЛМК, , , , , ,НЛМК ,НЛМК ,НЛМК ,НЛМК ,НЛМК ,НЛМК ,нлмк ,нлмк ,нлмк ,нлмк ,нлмк ,нлмк ",116
116,116,"Публичное акционерное общество ""Новороссийский комбинат хлебопродуктов"", , NKHP, новороссийский комбинат хлебопродуктов, нкхп, , , , ,новороссийские комбинаты хлебопродукты ,новороссийских комбинатов хлебопродуктов ,новороссийским комбинатам хлебопродуктам ,новороссийских комбинаты хлебопродукты ,новороссийскими комбинатами хлебопродуктами ,новороссийских комбинатах хлебопродуктах ,новороссийский комбинат хлебопродукт ,новороссийского комбината хлебопродукта ,новороссийскому комбинату хлебопродукту ,новороссийского комбинат хлебопродукт ,новороссийским комбинатом хлебопродуктом ,новороссийском комбинате хлебопродукте ",117
117,117,"Публичное акционерное общество ""Новороссийский морской торговый порт"", , nmtp, нмтп, новороссийский морской порт, новороссийский морской торговый порт, , , ,нмтп ,нмтп ,нмтп ,нмтп ,нмтп ,нмтп ,нмтп ,нмтп ,нмтп ,нмтп ,нмтп ,нмтп ",118
118,118,"Публичное акционерное общество ""Новороссийское морское пароходство"", , nompp, новошип, новороссийское морское пароходство, , , , ,новошипы ,новошипов ,новошипам ,новошипы ,новошипами ,новошипах ,новошип ,новошипа ,новошипу ,новошип ,новошипом ,новошипе ",119
119,119,"Публичное акционерное общество ""Объединенная авиастроительная корпорация"", UNAC, , ПАО ОАК, ПАО ""ОАК"", объединенная авиастроительная корпорация, , , ,ПАО ОАК ,ПАО ОАК ,ПАО ОАК ,ПАО ОАК ,ПАО ОАК ,ПАО ОАК ,ПАО ОАК ,ПАО ОАК ,ПАО ОАК ,ПАО ОАК ,ПАО ОАК ,ПАО ОАК ",120
120,120,"Публичное акционерное общество ""Объединенные Кредитные Системы"", , UCSS, Кредитные системы, Объединенные Кредитные Системы, , , , ,кредитные системы ,кредитных систем ,кредитным системам ,кредитных системы ,кредитными системами ,кредитных системах ,кредитный система ,кредитного системы ,кредитному системе ,кредитную систему ,кредитным системой ,кредитном системе ",121
121,121,"Публичное акционерное общество ""ОДК-Сатурн"", , SATR, Сатурн, ОДК Сатурн, ОДК-Сатурн, ОДК_Сатурн, , ,сатурны ,сатурнов ,сатурнам ,сатурны ,сатурнами ,сатурнах ,сатурн ,сатурна ,сатурну ,сатурн ,сатурном ,сатурне ",122
122,122,"Публичное акционерное общество ""ОР"", , ORUP, ОР ГРУПП, ПАО ОР, , , , ,оры группы ,оров групп ,орам группам ,оры группы ,орами группами ,орах группах ,ор группа ,ора группы ,ору группе ,ор группу ,ором группой ,оре группе ",123
123,123,"Публичное акционерное общество ""Павловский автобус"", , paza, Павловский автобус, Павл Автобус, ПавлБус, , , ,павловские автобусы ,павловских автобусов ,павловским автобусам ,павловских автобусы ,павловскими автобусами ,павловских автобусах ,павловский автобус ,павловского автобуса ,павловскому автобусу ,павловского автобус ,павловским автобусом ,павловском автобусе ",124
124,124,"Публичное акционерное общество ""Пермская энергосбытовая компания"", PMSBP, PMSB, ПЕРМЭНЕРГОСБЫТ, Пермская энергосбытовая компания, , , , ,PMSB ,PMSB ,PMSB ,PMSB ,PMSB ,PMSB ,PMSB ,PMSB ,PMSB ,PMSB ,PMSB ,PMSB ",125
125,125,"Публичное акционерное общество ""ПИК-специализированный застройщик"", PIKK, , ПИК СЗ, , , , , ,пики СЗ ,пиков СЗ ,пикам СЗ ,пики СЗ ,пиками СЗ ,пиках СЗ ,пик СЗ ,пика СЗ ,пику СЗ ,пик СЗ ,пиком СЗ ,пике СЗ ",126
126,126,"Публичное акционерное общество ""Полюс"", PLZL, , Полюс, , , , , ,полюсы ,полюсов ,полюсам ,полюсы ,полюсами ,полюсах ,полюс ,полюса ,полюсу ,полюс ,полюсом ,полюсе ",127
127,127,"Публичное акционерное общество ""Ракетно-космическая корпорация ""Энергия"" имени С.П. Королёва"", , RKKE                , Энергия, РКК Энергия, РКК «Энергия», , , ,энергии ,энергий ,энергиям ,энергии ,энергиями ,энергиях ,энергия ,энергии ,энергии ,энергию ,энергией ,энергии ",128
128,128,"Публичное акционерное общество ""Распадская"", RASP, , ПАО «Распадская», Распадская, , , , ,ПАО «Распадская» ,ПАО «Распадская» ,ПАО «Распадская» ,ПАО «Распадская» ,ПАО «Распадская» ,ПАО «Распадская» ,ПАО «Распадская» ,ПАО «Распадская» ,ПАО «Распадская» ,ПАО «Распадская» ,ПАО «Распадская» ,ПАО «Распадская» ",129
